date,topic,wp,party,page_content,keyword_counts,keyword_total
20220321,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220322,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220323,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220324,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220325,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220326,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220327,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220328,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220329,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220330,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220331,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220401,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220402,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220403,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220404,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220405,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220406,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220407,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220408,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220409,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220410,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220411,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220412,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220413,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220414,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220415,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220416,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220417,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220418,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220419,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220420,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220421,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220422,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220423,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220424,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220425,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220426,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220427,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220428,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220429,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220430,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220501,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220502,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220503,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220504,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220505,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220506,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220507,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220508,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220509,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220510,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220511,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220512,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220513,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220514,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220515,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220516,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220517,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220518,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220519,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220520,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220521,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220522,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220523,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220524,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220525,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220526,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220527,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220528,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220529,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220530,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220531,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220601,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220602,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220603,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220604,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220605,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220606,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220607,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220608,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220609,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220610,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220611,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220612,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220613,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220614,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220615,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220616,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220617,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220618,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220619,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220620,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220621,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220622,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220623,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220624,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220625,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220626,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220627,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220628,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220629,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220630,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220701,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220702,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220703,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220704,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220705,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220706,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220707,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220708,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220709,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220710,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220711,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220712,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220713,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220714,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220715,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220716,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220717,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220718,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220719,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220720,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220721,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220722,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220723,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220724,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220725,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220726,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220727,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220728,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220729,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220730,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220731,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220801,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220802,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220803,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220804,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220805,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220806,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220807,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220808,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220809,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220810,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220811,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220812,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220813,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220814,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220815,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220816,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220817,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220818,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220819,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220820,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220821,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220822,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220823,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220824,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220825,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220826,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220827,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220828,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220829,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220830,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220831,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220901,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220902,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220903,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220904,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220905,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220906,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220907,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220908,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220909,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220910,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220911,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220912,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220913,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220914,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220915,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220916,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220917,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220918,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220919,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220920,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220921,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220922,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220923,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220924,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220925,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220926,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220927,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220928,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220929,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20220930,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221001,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221002,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221003,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221004,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221005,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221006,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221007,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221008,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221009,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221010,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221011,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221012,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221013,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221014,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221015,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221016,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221017,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221018,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221019,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221020,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221021,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221022,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221023,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221024,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221025,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221026,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
20221027,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0.0
